"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"BANK0_R0","INTMEM:00","Data Label","Global","Imported","12","0"
"BANK0_R1","INTMEM:01","Data Label","Global","Imported","10","0"
"BANK0_R2","INTMEM:02","Data Label","Global","Imported","5","0"
"BANK0_R3","INTMEM:03","Data Label","Global","Imported","7","0"
"BANK0_R4","INTMEM:04","Data Label","Global","Imported","13","0"
"BANK0_R5","INTMEM:05","Data Label","Global","Imported","18","0"
"BANK0_R6","INTMEM:06","Data Label","Global","Imported","40","0"
"BANK0_R7","INTMEM:07","Data Label","Global","Imported","54","0"
"BANK1_R0","INTMEM:08","Data Label","Global","Imported","7","0"
"BANK1_R1","INTMEM:09","Data Label","Global","Imported","3","0"
"BANK1_R2","INTMEM:0a","Data Label","Global","Imported","3","0"
"BANK1_R3","INTMEM:0b","Data Label","Global","Imported","3","0"
"BANK1_R4","INTMEM:0c","Data Label","Global","Imported","3","0"
"BANK1_R5","INTMEM:0d","Data Label","Global","Imported","32","0"
"BANK1_R6","INTMEM:0e","Data Label","Global","Imported","0","0"
"BANK1_R7","INTMEM:0f","Data Label","Global","Imported","0","0"
"BANK2_R0","INTMEM:10","Data Label","Global","Imported","0","0"
"BANK2_R1","INTMEM:11","Data Label","Global","Imported","1","0"
"BANK2_R2","INTMEM:12","Data Label","Global","Imported","1","0"
"BANK2_R3","INTMEM:13","Data Label","Global","Imported","0","0"
"BANK2_R4","INTMEM:14","Data Label","Global","Imported","0","0"
"BANK2_R5","INTMEM:15","Data Label","Global","Imported","0","0"
"BANK2_R6","INTMEM:16","Data Label","Global","Imported","9","0"
"BANK2_R7","INTMEM:17","Data Label","Global","Imported","9","0"
"BANK3_R0","INTMEM:18","Data Label","Global","Imported","5","0"
"BANK3_R1","INTMEM:19","Data Label","Global","Imported","5","0"
"BANK3_R2","INTMEM:1a","Data Label","Global","Imported","0","0"
"BANK3_R3","INTMEM:1b","Data Label","Global","Imported","0","0"
"BANK3_R4","INTMEM:1c","Data Label","Global","Imported","0","0"
"BANK3_R5","INTMEM:1d","Data Label","Global","Imported","0","0"
"BANK3_R6","INTMEM:1e","Data Label","Global","Imported","0","0"
"BANK3_R7","INTMEM:1f","Data Label","Global","Imported","0","0"
"P0","SFR:80","Data Label","Global","Imported","0","0"
"SP","SFR:81","Data Label","Global","Imported","1","0"
"DPL","SFR:82","Data Label","Global","Imported","0","0"
"DPH","SFR:83","Data Label","Global","Imported","0","0"
"DPXL","SFR:84","Data Label","Global","Imported","0","0"
"PCON","SFR:87","Data Label","Global","Imported","0","0"
"TCON","SFR:88","Data Label","Global","Imported","0","0"
"TMOD","SFR:89","Data Label","Global","Imported","0","0"
"TL0","SFR:8a","Data Label","Global","Imported","0","0"
"TL1","SFR:8b","Data Label","Global","Imported","0","0"
"TH0","SFR:8c","Data Label","Global","Imported","0","0"
"TH1","SFR:8d","Data Label","Global","Imported","0","0"
"FADDR","SFR:8f","Data Label","Global","Imported","0","0"
"P1","SFR:90","Data Label","Global","Imported","0","0"
"DPX","SFR:93","Data Label","Global","Imported","36","0"
"HADDR","SFR:97","Data Label","Global","Imported","0","0"
"SCON","SFR:98","Data Label","Global","Imported","0","0"
"SBUF","SFR:99","Data Label","Global","Imported","0","0"
"P2","SFR:a0","Data Label","Global","Imported","2","0"
"HIE","SFR:a1","Data Label","Global","Imported","0","0"
"FIE","SFR:a2","Data Label","Global","Imported","0","0"
"FIE1","SFR:a3","Data Label","Global","Imported","0","0"
"WDTRST","SFR:a6","Data Label","Global","Imported","0","0"
"WCON","SFR:a7","Data Label","Global","Imported","0","0"
"IE","SFR:a8","Data Label","Global","Imported","0","0"
"SADDR","SFR:a9","Data Label","Global","Imported","0","0"
"HSTAT","SFR:ae","Data Label","Global","Imported","0","0"
"P3","SFR:b0","Data Label","Global","Imported","0","0"
"IEN1","SFR:b1","Data Label","Global","Imported","0","0"
"IPL1","SFR:b2","Data Label","Global","Imported","0","0"
"IPH1","SFR:b3","Data Label","Global","Imported","0","0"
"IPH0","SFR:b7","Data Label","Global","Imported","0","0"
"IP","SFR:b8","Data Label","Global","Imported","0","0"
"SADEN","SFR:b9","Data Label","Global","Imported","0","0"
"SPH","SFR:be","Data Label","Global","Imported","0","0"
"FIFLG","SFR:c0","Data Label","Global","Imported","0","0"
"FIFLG1","SFR:c1","Data Label","Global","Imported","0","0"
"EPCONFIG","SFR:c7","Data Label","Global","Imported","0","0"
"T2CON","SFR:c8","Data Label","Global","Imported","0","0"
"T2MOD","SFR:c9","Data Label","Global","Imported","0","0"
"RCAP2L","SFR:ca","Data Label","Global","Imported","0","0"
"RCAP2H","SFR:cb","Data Label","Global","Imported","0","0"
"TL2","SFR:cc","Data Label","Global","Imported","0","0"
"TH2","SFR:cd","Data Label","Global","Imported","0","0"
"HPCON","SFR:cf","Data Label","Global","Imported","0","0"
"PSW","SFR:d0","Data Label","Global","Imported","0","0"
"PSW1","SFR:d1","Data Label","Global","Imported","0","0"
"SOFL","SFR:d2","Data Label","Global","Imported","0","0"
"HPINDEX","SFR:d4","Data Label","Global","Imported","0","0"
"HPSC","SFR:d5","Data Label","Global","Imported","0","0"
"HPSTAT","SFR:d7","Data Label","Global","Imported","0","0"
"CCON","SFR:d8","Data Label","Global","Imported","0","0"
"CMOD","SFR:d9","Data Label","Global","Imported","0","0"
"CCAPM0","SFR:da","Data Label","Global","Imported","0","0"
"CCAPM1","SFR:db","Data Label","Global","Imported","0","0"
"CCAPM2","SFR:dc","Data Label","Global","Imported","0","0"
"CCAPM3","SFR:dd","Data Label","Global","Imported","0","0"
"CCAPM4","SFR:de","Data Label","Global","Imported","0","0"
"PCON1","SFR:df","Data Label","Global","Imported","0","0"
"ACC","SFR:e0","Data Label","Global","Imported","0","0"
"EPCON","SFR:e1","Data Label","Global","Imported","0","0"
"RXSTAT","SFR:e2","Data Label","Global","Imported","0","0"
"RXDAT","SFR:e3","Data Label","Global","Imported","0","0"
"RXCON","SFR:e4","Data Label","Global","Imported","0","0"
"RXFLG","SFR:e5","Data Label","Global","Imported","0","0"
"RXCNTL","SFR:e6","Data Label","Global","Imported","0","0"
"RXCNTH","SFR:e7","Data Label","Global","Imported","0","0"
"HIFLG","SFR:e8","Data Label","Global","Imported","0","0"
"CL","SFR:e9","Data Label","Global","Imported","0","0"
"CCAP0L","SFR:ea","Data Label","Global","Imported","0","0"
"CCAP1L","SFR:eb","Data Label","Global","Imported","0","0"
"CCAP2L","SFR:ec","Data Label","Global","Imported","0","0"
"CCAP3L","SFR:ed","Data Label","Global","Imported","0","0"
"CCAP4L","SFR:ee","Data Label","Global","Imported","0","0"
"B","SFR:f0","Data Label","Global","Imported","0","0"
"EPINDEX","SFR:f1","Data Label","Global","Imported","0","0"
"TXSTAT","SFR:f2","Data Label","Global","Imported","0","0"
"TXDAT","SFR:f3","Data Label","Global","Imported","0","0"
"TXCON","SFR:f4","Data Label","Global","Imported","0","0"
"TXFLG","SFR:f5","Data Label","Global","Imported","0","0"
"TXCNTL","SFR:f6","Data Label","Global","Imported","0","0"
"TXCNTH","SFR:f7","Data Label","Global","Imported","0","0"
"CH","SFR:f9","Data Label","Global","Imported","0","0"
"CCAP0H","SFR:fa","Data Label","Global","Imported","0","0"
"CCAP1H","SFR:fb","Data Label","Global","Imported","0","0"
"CCAP2H","SFR:fc","Data Label","Global","Imported","0","0"
"CCAP3H","SFR:fd","Data Label","Global","Imported","0","0"
"CCAP4H","SFR:fe","Data Label","Global","Imported","0","0"
"20.0","BITS:00","Data Label","Global","Imported","0","0"
"20.1","BITS:01","Data Label","Global","Imported","6","0"
"20.2","BITS:02","Data Label","Global","Imported","0","0"
"20.3","BITS:03","Data Label","Global","Imported","0","0"
"20.4","BITS:04","Data Label","Global","Imported","0","0"
"20.5","BITS:05","Data Label","Global","Imported","0","0"
"20.6","BITS:06","Data Label","Global","Imported","0","0"
"20.7","BITS:07","Data Label","Global","Imported","0","0"
"21.0","BITS:08","Data Label","Global","Imported","0","0"
"21.1","BITS:09","Data Label","Global","Imported","0","0"
"21.2","BITS:0a","Data Label","Global","Imported","0","0"
"21.3","BITS:0b","Data Label","Global","Imported","0","0"
"21.4","BITS:0c","Data Label","Global","Imported","0","0"
"21.5","BITS:0d","Data Label","Global","Imported","0","0"
"21.6","BITS:0e","Data Label","Global","Imported","0","0"
"21.7","BITS:0f","Data Label","Global","Imported","0","0"
"22.0","BITS:10","Data Label","Global","Imported","0","0"
"22.1","BITS:11","Data Label","Global","Imported","0","0"
"22.2","BITS:12","Data Label","Global","Imported","0","0"
"22.3","BITS:13","Data Label","Global","Imported","0","0"
"22.4","BITS:14","Data Label","Global","Imported","0","0"
"22.5","BITS:15","Data Label","Global","Imported","0","0"
"22.6","BITS:16","Data Label","Global","Imported","0","0"
"22.7","BITS:17","Data Label","Global","Imported","0","0"
"23.0","BITS:18","Data Label","Global","Imported","0","0"
"23.1","BITS:19","Data Label","Global","Imported","0","0"
"23.2","BITS:1a","Data Label","Global","Imported","0","0"
"23.3","BITS:1b","Data Label","Global","Imported","0","0"
"23.4","BITS:1c","Data Label","Global","Imported","0","0"
"23.5","BITS:1d","Data Label","Global","Imported","0","0"
"23.6","BITS:1e","Data Label","Global","Imported","0","0"
"23.7","BITS:1f","Data Label","Global","Imported","0","0"
"24.0","BITS:20","Data Label","Global","Imported","0","0"
"24.1","BITS:21","Data Label","Global","Imported","0","0"
"24.2","BITS:22","Data Label","Global","Imported","0","0"
"24.3","BITS:23","Data Label","Global","Imported","0","0"
"24.4","BITS:24","Data Label","Global","Imported","0","0"
"24.5","BITS:25","Data Label","Global","Imported","0","0"
"24.6","BITS:26","Data Label","Global","Imported","0","0"
"24.7","BITS:27","Data Label","Global","Imported","0","0"
"25.0","BITS:28","Data Label","Global","Imported","0","0"
"25.1","BITS:29","Data Label","Global","Imported","0","0"
"25.2","BITS:2a","Data Label","Global","Imported","0","0"
"25.3","BITS:2b","Data Label","Global","Imported","0","0"
"25.4","BITS:2c","Data Label","Global","Imported","0","0"
"25.5","BITS:2d","Data Label","Global","Imported","0","0"
"25.6","BITS:2e","Data Label","Global","Imported","0","0"
"25.7","BITS:2f","Data Label","Global","Imported","0","0"
"26.0","BITS:30","Data Label","Global","Imported","0","0"
"26.1","BITS:31","Data Label","Global","Imported","0","0"
"26.2","BITS:32","Data Label","Global","Imported","0","0"
"26.3","BITS:33","Data Label","Global","Imported","0","0"
"26.4","BITS:34","Data Label","Global","Imported","0","0"
"26.5","BITS:35","Data Label","Global","Imported","0","0"
"26.6","BITS:36","Data Label","Global","Imported","0","0"
"26.7","BITS:37","Data Label","Global","Imported","0","0"
"27.0","BITS:38","Data Label","Global","Imported","0","0"
"27.1","BITS:39","Data Label","Global","Imported","0","0"
"27.2","BITS:3a","Data Label","Global","Imported","0","0"
"27.3","BITS:3b","Data Label","Global","Imported","0","0"
"27.4","BITS:3c","Data Label","Global","Imported","0","0"
"27.5","BITS:3d","Data Label","Global","Imported","0","0"
"27.6","BITS:3e","Data Label","Global","Imported","0","0"
"27.7","BITS:3f","Data Label","Global","Imported","0","0"
"28.0","BITS:40","Data Label","Global","Imported","0","0"
"28.1","BITS:41","Data Label","Global","Imported","0","0"
"28.2","BITS:42","Data Label","Global","Imported","0","0"
"28.3","BITS:43","Data Label","Global","Imported","0","0"
"28.4","BITS:44","Data Label","Global","Imported","0","0"
"28.5","BITS:45","Data Label","Global","Imported","0","0"
"28.6","BITS:46","Data Label","Global","Imported","0","0"
"28.7","BITS:47","Data Label","Global","Imported","0","0"
"29.0","BITS:48","Data Label","Global","Imported","0","0"
"29.1","BITS:49","Data Label","Global","Imported","0","0"
"29.2","BITS:4a","Data Label","Global","Imported","0","0"
"29.3","BITS:4b","Data Label","Global","Imported","0","0"
"29.4","BITS:4c","Data Label","Global","Imported","0","0"
"29.5","BITS:4d","Data Label","Global","Imported","0","0"
"29.6","BITS:4e","Data Label","Global","Imported","0","0"
